example_id                            | status | run_time        |
------------------------------------- | ------ | --------------- |
./spec/ec2_utils_spec.rb[1:1:1:1:1:1] | passed | 0.00964 seconds |
./spec/ec2_utils_spec.rb[1:1:1:2:1]   | passed | 0.0105 seconds  |
./spec/ec2_utils_spec.rb[1:1:1:2:2]   | passed | 0.01066 seconds |
./spec/ec2_utils_spec.rb[1:1:1:2:3]   | passed | 0.01092 seconds |
./spec/ec2_utils_spec.rb[1:1:1:3:1]   | passed | 0.01004 seconds |
./spec/ec2_utils_spec.rb[1:1:1:3:2]   | passed | 0.01077 seconds |
./spec/ec2_utils_spec.rb[1:1:1:4:1]   | passed | 0.01032 seconds |
./spec/ec2_utils_spec.rb[1:1:1:4:2]   | passed | 0.01017 seconds |
./spec/ec2_utils_spec.rb[1:2:1:1:1:1] | passed | 0.00943 seconds |
./spec/ec2_utils_spec.rb[1:2:1:2:1]   | passed | 0.01093 seconds |
./spec/ec2_utils_spec.rb[1:2:1:2:2]   | passed | 0.01008 seconds |
./spec/ec2_utils_spec.rb[1:2:1:2:3]   | passed | 0.0102 seconds  |
./spec/ec2_utils_spec.rb[1:2:1:3:1]   | passed | 0.00984 seconds |
./spec/ec2_utils_spec.rb[1:2:1:3:2]   | passed | 0.00954 seconds |
./spec/ec2_utils_spec.rb[1:2:1:4:1]   | passed | 0.01272 seconds |
./spec/ec2_utils_spec.rb[1:2:1:4:2]   | passed | 0.01145 seconds |
./spec/ec2_utils_spec.rb[2:1:1]       | passed | 0.0011 seconds  |
./spec/ec2_utils_spec.rb[2:2:1]       | passed | 0.00074 seconds |
./spec/ec2_utils_spec.rb[2:2:2]       | passed | 0.00093 seconds |
./spec/ec2_utils_spec.rb[2:2:3]       | passed | 0.00086 seconds |
./spec/ec2_utils_spec.rb[2:3:1]       | passed | 0.00152 seconds |
./spec/ec2_utils_spec.rb[2:3:2]       | passed | 0.00149 seconds |
./spec/ec2_utils_spec.rb[2:4:1:1]     | passed | 0.00087 seconds |
./spec/ec2_utils_spec.rb[2:4:2:1]     | passed | 0.00074 seconds |
./spec/ec2_utils_spec.rb[2:4:3:1]     | passed | 0.00084 seconds |
./spec/vol_utils_spec.rb[1:1:1:1:1]   | passed | 0.01165 seconds |
